Overriding config with config/exp3_heads.py:
# Experiment 3 - Attention head sweep
# Vary: n_head ∈ {4, 8, 16, 32}
# Fixed: n_layer = 6, n_embd = 256, dropout = 0.0

out_dir = 'out-exp3-heads'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp3-heads'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6
n_head = 8  # overridden via command line
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp3-head4
Overriding: n_head = 4
Overriding: wandb_run_name = exp3-head4
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 4.78M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 4,842,496 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
iter 3840: loss 0.6187, time 199.48ms, mfu 0.76%
iter 3850: loss 0.6217, time 200.29ms, mfu 0.77%
iter 3860: loss 0.6052, time 201.83ms, mfu 0.78%
iter 3870: loss 0.6115, time 200.47ms, mfu 0.79%
iter 3880: loss 0.6074, time 199.83ms, mfu 0.80%
iter 3890: loss 0.6063, time 202.17ms, mfu 0.81%
iter 3900: loss 0.6133, time 199.90ms, mfu 0.81%
iter 3910: loss 0.6144, time 201.50ms, mfu 0.82%
iter 3920: loss 0.5877, time 200.81ms, mfu 0.82%
iter 3930: loss 0.6250, time 199.40ms, mfu 0.83%
iter 3940: loss 0.6051, time 201.65ms, mfu 0.83%
iter 3950: loss 0.6275, time 200.13ms, mfu 0.84%
iter 3960: loss 0.5994, time 199.94ms, mfu 0.84%
iter 3970: loss 0.6064, time 199.69ms, mfu 0.85%
iter 3980: loss 0.6168, time 200.47ms, mfu 0.85%
iter 3990: loss 0.5827, time 204.54ms, mfu 0.85%
step 4000: train loss 0.6116, val loss 0.6128
saving checkpoint to out-exp3-head4
iter 4000: loss 0.6073, time 27612.62ms, mfu 0.76%
iter 4010: loss 0.6188, time 198.06ms, mfu 0.78%
iter 4020: loss 0.6307, time 202.56ms, mfu 0.79%
iter 4030: loss 0.6490, time 198.15ms, mfu 0.80%
iter 4040: loss 0.6116, time 197.24ms, mfu 0.81%
iter 4050: loss 0.5896, time 197.05ms, mfu 0.81%
iter 4060: loss 0.6052, time 198.02ms, mfu 0.82%
iter 4070: loss 0.5649, time 196.52ms, mfu 0.83%
iter 4080: loss 0.6275, time 197.12ms, mfu 0.83%
iter 4090: loss 0.6249, time 196.64ms, mfu 0.84%
iter 4100: loss 0.6434, time 196.71ms, mfu 0.85%
iter 4110: loss 0.5899, time 199.79ms, mfu 0.85%
iter 4120: loss 0.5882, time 198.02ms, mfu 0.85%
iter 4130: loss 0.6030, time 199.31ms, mfu 0.85%
iter 4140: loss 0.5909, time 199.55ms, mfu 0.86%
iter 4150: loss 0.5907, time 196.18ms, mfu 0.86%
iter 4160: loss 0.6025, time 207.47ms, mfu 0.86%
iter 4170: loss 0.6057, time 200.45ms, mfu 0.86%
iter 4180: loss 0.5994, time 199.05ms, mfu 0.86%
iter 4190: loss 0.6105, time 202.53ms, mfu 0.86%
iter 4200: loss 0.6144, time 201.56ms, mfu 0.86%
iter 4210: loss 0.5980, time 210.55ms, mfu 0.86%
iter 4220: loss 0.6011, time 200.34ms, mfu 0.86%
iter 4230: loss 0.5884, time 200.86ms, mfu 0.86%
iter 4240: loss 0.5992, time 201.81ms, mfu 0.86%
step 4250: train loss 0.6040, val loss 0.6055
saving checkpoint to out-exp3-head4
iter 4250: loss 0.6076, time 28033.38ms, mfu 0.78%
iter 4260: loss 0.5985, time 202.22ms, mfu 0.79%
iter 4270: loss 0.5986, time 203.15ms, mfu 0.79%
iter 4280: loss 0.5940, time 205.89ms, mfu 0.80%
iter 4290: loss 0.6081, time 203.38ms, mfu 0.81%
iter 4300: loss 0.5997, time 203.47ms, mfu 0.81%
iter 4310: loss 0.6213, time 201.83ms, mfu 0.82%
iter 4320: loss 0.5880, time 203.89ms, mfu 0.82%
iter 4330: loss 0.6226, time 203.53ms, mfu 0.83%
iter 4340: loss 0.5907, time 202.81ms, mfu 0.83%
iter 4350: loss 0.5950, time 204.47ms, mfu 0.83%
iter 4360: loss 0.6016, time 204.64ms, mfu 0.84%
iter 4370: loss 0.5758, time 207.46ms, mfu 0.84%
iter 4380: loss 0.6051, time 207.65ms, mfu 0.84%
iter 4390: loss 0.6045, time 204.28ms, mfu 0.84%
iter 4400: loss 0.6075, time 206.79ms, mfu 0.84%
iter 4410: loss 0.6073, time 206.76ms, mfu 0.84%
iter 4420: loss 0.6242, time 207.42ms, mfu 0.84%
iter 4430: loss 0.6280, time 207.75ms, mfu 0.84%
iter 4440: loss 0.6193, time 208.39ms, mfu 0.84%
iter 4450: loss 0.5625, time 203.62ms, mfu 0.84%
iter 4460: loss 0.5813, time 199.53ms, mfu 0.85%
iter 4470: loss 0.6152, time 205.23ms, mfu 0.85%
iter 4480: loss 0.6038, time 205.59ms, mfu 0.85%
iter 4490: loss 0.5861, time 204.18ms, mfu 0.85%
step 4500: train loss 0.6021, val loss 0.6021
saving checkpoint to out-exp3-head4
iter 4500: loss 0.6288, time 28601.95ms, mfu 0.77%
iter 4510: loss 0.6089, time 207.54ms, mfu 0.77%
iter 4520: loss 0.6026, time 205.48ms, mfu 0.78%
iter 4530: loss 0.6307, time 210.87ms, mfu 0.79%
iter 4540: loss 0.6015, time 210.07ms, mfu 0.79%
iter 4550: loss 0.6196, time 211.10ms, mfu 0.80%
iter 4560: loss 0.6190, time 205.77ms, mfu 0.80%
iter 4570: loss 0.6017, time 204.11ms, mfu 0.81%
iter 4580: loss 0.5834, time 206.38ms, mfu 0.81%
iter 4590: loss 0.5854, time 206.30ms, mfu 0.81%
iter 4600: loss 0.5882, time 206.26ms, mfu 0.82%
iter 4610: loss 0.5587, time 206.06ms, mfu 0.82%
iter 4620: loss 0.5866, time 204.81ms, mfu 0.83%
iter 4630: loss 0.6034, time 207.52ms, mfu 0.83%
iter 4640: loss 0.5909, time 210.85ms, mfu 0.83%
iter 4650: loss 0.5945, time 207.43ms, mfu 0.83%
iter 4660: loss 0.5785, time 208.66ms, mfu 0.83%
iter 4670: loss 0.5872, time 210.56ms, mfu 0.83%
iter 4680: loss 0.5839, time 209.02ms, mfu 0.83%
iter 4690: loss 0.5988, time 205.54ms, mfu 0.83%
iter 4700: loss 0.5889, time 202.74ms, mfu 0.84%
iter 4710: loss 0.5854, time 206.78ms, mfu 0.84%
iter 4720: loss 0.6033, time 203.11ms, mfu 0.84%
iter 4730: loss 0.6101, time 209.44ms, mfu 0.84%
iter 4740: loss 0.6062, time 207.10ms, mfu 0.84%
step 4750: train loss 0.5960, val loss 0.5988
saving checkpoint to out-exp3-head4
iter 4750: loss 0.5842, time 28640.42ms, mfu 0.76%
iter 4760: loss 0.5948, time 206.36ms, mfu 0.77%
iter 4770: loss 0.5664, time 206.14ms, mfu 0.78%
iter 4780: loss 0.5760, time 207.84ms, mfu 0.78%
iter 4790: loss 0.5703, time 206.69ms, mfu 0.79%
iter 4800: loss 0.6028, time 210.38ms, mfu 0.79%
iter 4810: loss 0.5958, time 205.75ms, mfu 0.80%
iter 4820: loss 0.5684, time 207.33ms, mfu 0.80%
iter 4830: loss 0.5844, time 207.21ms, mfu 0.81%
iter 4840: loss 0.5854, time 209.95ms, mfu 0.81%
iter 4850: loss 0.6229, time 212.88ms, mfu 0.81%
iter 4860: loss 0.6114, time 205.85ms, mfu 0.82%
iter 4870: loss 0.6241, time 205.06ms, mfu 0.82%
iter 4880: loss 0.5901, time 208.39ms, mfu 0.82%
iter 4890: loss 0.5653, time 206.13ms, mfu 0.83%
iter 4900: loss 0.5695, time 206.23ms, mfu 0.83%
iter 4910: loss 0.5679, time 205.11ms, mfu 0.83%
iter 4920: loss 0.6102, time 205.84ms, mfu 0.83%
iter 4930: loss 0.5781, time 205.83ms, mfu 0.83%
iter 4940: loss 0.6075, time 209.24ms, mfu 0.83%
iter 4950: loss 0.5861, time 207.97ms, mfu 0.84%
iter 4960: loss 0.5934, time 206.93ms, mfu 0.84%
iter 4970: loss 0.6079, time 210.31ms, mfu 0.84%
iter 4980: loss 0.5790, time 213.33ms, mfu 0.84%
iter 4990: loss 0.5976, time 205.84ms, mfu 0.84%
step 5000: train loss 0.5937, val loss 0.5954
saving checkpoint to out-exp3-head4
iter 5000: loss 0.5998, time 28518.75ms, mfu 0.75%
